id,cardMessageMasterId,cardTypeNo,cardTypeName,cardid,cardName,type,messageId,messageEventId,eventTypeId,eventType,title,selectType,result,result1,result2,result3,result4,result5,result6,result7,result8,result9,result10
11,11,1,スピード,2,トウカイテイオー(SSRサポート),1,4,1,2,通常イベント,ボクの武器,全部できるとかっこいいよ！,,やる気アップ,根性+10,トウカイテイオーの絆ゲージ+5,,,,,,,
12,12,1,スピード,2,トウカイテイオー(SSRサポート),1,4,2,2,通常イベント,ボクの武器,今も十分すごい武器を持ってるよ,,『先行直線◯』のヒントLv+1,トウカイテイオーの絆ゲージ+5,,,,,,,,
13,13,1,スピード,2,トウカイテイオー(SSRサポート),1,5,1,2,通常イベント,ボクのやり方,自分に合う方法が1番！,,やる気アップ,スキルPt+15,トウカイテイオーの絆ゲージ+5,,,,,,,
14,14,1,スピード,2,トウカイテイオー(SSRサポート),1,5,2,2,通常イベント,ボクのやり方,我慢した後に走ったらもっと気持ちいいよ,,根性+15,トウカイテイオーの絆ゲージ+5,,,,,,,,
15,15,1,スピード,3,ゴールドシチー(SSRサポート),1,1,1,1,連続イベント,Pride,選択肢なし,,体力+20,,,,,,,,,
16,16,1,スピード,3,ゴールドシチー(SSRサポート),1,2,1,1,連続イベント,Struggle,選択肢なし,,体力+10,スタミナ+10,,,,,,,,
17,17,1,スピード,3,ゴールドシチー(SSRサポート),1,3,1,1,連続イベント,One Step,選択肢なし,,スタミナ+10,『彗眼』のヒントLv+1,,,,,,,,
18,18,1,スピード,3,ゴールドシチー(SSRサポート),1,4,1,2,通常イベント,08:36/朝寝坊、やばっ,もうすぐ始業時間なんじゃ……,,やる気ダウン,スキルPt+45,ゴールドシチーの絆ゲージ+5,,,,,,,
19,19,1,スピード,3,ゴールドシチー(SSRサポート),1,4,2,2,通常イベント,08:36/朝寝坊、やばっ,焦っても仕方ないしな,,体力+10,賢さ+5,ゴールドシチーの絆ゲージ+5,,,,,,,
20,20,1,スピード,3,ゴールドシチー(SSRサポート),1,5,1,2,通常イベント,13:12/昼休み、気合い入れなきゃ,まずは目の前のことに集中しよう,,スキルPt+30,ゴールドシチーの絆ゲージ+5,,,,,,,,
21,21,1,スピード,3,ゴールドシチー(SSRサポート),1,5,2,2,通常イベント,13:12/昼休み、気合い入れなきゃ,栄養ドリンクいる？,,『小休憩』のヒントLv+1,ゴールドシチーの絆ゲージ+5,,,,,,,,
22,22,1,スピード,4,サクラバクシンオー(SSRスピード),1,1,1,1,連続イベント,バクシンの料理！！,選択肢なし,,スピード+10,,,,,,,,,
23,23,1,スピード,4,サクラバクシンオー(SSRスピード),1,1,1,1,連続イベント,バクシンの気持ち！！,選択肢なし,,スピード+5,,,,,,,,,
24,24,1,スピード,4,サクラバクシンオー(SSRスピード),1,1,1,1,連続イベント,バクシンの大成功！！,選択肢なし,,スピード+10,パワー+5,『スプリントターボ』のヒントLv+1,,,,,,,
25,25,1,スピード,4,サクラバクシンオー(SSRスピード),1,2,1,2,通常イベント,優等生の一石二鳥！！,雑巾がけで、スピード強化！,,スピード+15,サクラバクシンオーの絆ゲージ+5,,,,,,,,
26,26,1,スピード,4,サクラバクシンオー(SSRスピード),1,2,2,2,通常イベント,優等生の一石二鳥！！,資料室の整理で、パワーも強化！,,スピード+5,パワー+10,サクラバクシンオーの絆ゲージ+5,,,,,,,
27,27,1,スピード,4,サクラバクシンオー(SSRスピード),1,3,1,2,通常イベント,走りだすほどの！！,読み終わったら借りてもいいか？,,『詰め寄り』のヒントLv+1,サクラバクシンオーの絆ゲージ+5,,,,,,,,
28,28,1,スピード,4,サクラバクシンオー(SSRスピード),1,3,2,2,通常イベント,走りだすほどの！！,参考に、走りを見せてもらえるか？,,体力-10,スピード+10,パワー+5,サクラバクシンオーの絆ゲージ+5,,,,,,
29,29,1,スピード,5,ニシノフラワー(SSRスピード),1,1,1,1,連続イベント,私にできること,選択肢なし,,体力最大値+4,スキルPt+10,,,,,,,,
30,30,1,スピード,5,ニシノフラワー(SSRスピード),1,2,1,1,連続イベント,あこがれの……,すごくオトナっぽいよ,,体力-10,賢さ+20,ニシノフラワーの絆ゲージ+5,,,,,,,
31,31,1,スピード,5,ニシノフラワー(SSRスピード),1,2,1,1,連続イベント,あこがれの……,ええと……,,賢さ+5,スキルPt+15,,,,,,,,
32,32,1,スピード,5,ニシノフラワー(SSRスピード),1,3,1,1,連続イベント,たいせつなのは！,選択肢なし,,スピード+5,賢さ+10,ランダムで『直線巧者』のヒントLv+1もしくは『ハヤテ一文字』のヒントLv+1~3,,,,,,,
33,33,1,スピード,5,ニシノフラワー(SSRスピード),1,4,1,2,通常イベント,きれいに咲こうねっ♪,手分けして効率化をはかろう！,,賢さ+15,ニシノフラワーの絆ゲージ+5,,,,,,,,
34,34,1,スピード,5,ニシノフラワー(SSRスピード),1,4,2,2,通常イベント,きれいに咲こうねっ♪,急いでじょうろに水を入れてくる！,,スピード+10,パワー+5,ニシノフラワーの絆ゲージ+5,,,,,,,
35,35,1,スピード,5,ニシノフラワー(SSRスピード),1,5,1,2,通常イベント,温もり愛情弁当,可愛いおかずだ,,『愛嬌◯』になる,ニシノフラワーの絆ゲージ+5,,,,,,,,
36,36,1,スピード,5,ニシノフラワー(SSRスピード),1,5,2,2,通常イベント,温もり愛情弁当,栄養ありそうだ,,体力+20,ニシノフラワーの絆ゲージ+5,,,,,,,,
37,37,1,スピード,6,ビコーペガサス(SSR),1,1,1,1,連続イベント,熱い誓い！　アタシはヒーローになる！,選択肢なし,,スピード+5,根性+5,,,,,,,,
38,38,1,スピード,6,ビコーペガサス(SSR),1,1,2,1,連続イベント,猛特訓！　現れたキャロットマン！？,選択肢なし,,スピード+5,根性+5,,,,,,,,
39,39,1,スピード,6,ビコーペガサス(SSR),1,2,1,1,連続イベント,決戦！　栄光の勝利をこの手に！,選択肢なし,,スピード+5,パワー+5,根性+5,『プランX』のヒントLv+1,,,,,,
40,40,1,スピード,6,ビコーペガサス(SSR),1,3,1,2,通常イベント,ヒーローの苦悩,力は温存しとかないと,,体力+15,ビコーペガサスの絆ゲージ+5,,,,,,,,
41,41,1,スピード,6,ビコーペガサス(SSR),1,3,2,2,通常イベント,ヒーローの苦悩,今のうちに鍛えておこう！,,体力+5,パワー+5,ビコーペガサスの絆ゲージ+5,,,,,,,
42,42,1,スピード,6,ビコーペガサス(SSR),1,1,1,2,通常イベント,必殺技を手に入れろ！,ストライク、カッコ良さそうだ,,『短距離直線◯』のヒントLv+1,ビコーペガサスの絆ゲージ+5,,,,,,,,
43,43,1,スピード,6,ビコーペガサス(SSR),1,1,2,2,通常イベント,必殺技を手に入れろ！,無茶はしない方がいいよ,,体力+30,ビコーペガサスの絆ゲージ+5,,,,,,,,
44,44,1,スピード,7,スペシャルウィーク(イベント配布報酬),1,1,1,1,連続イベント,いつかは憧れのウマ娘に！,選択肢なし,,体力+10,スピード+5,,,,,,,,
45,45,1,スピード,7,スペシャルウィーク(イベント配布報酬),1,2,1,1,連続イベント,少しでも近づけるように,やっぱり髪かな？,,体力-10,スピード+15,スペシャルウィークの絆ゲージ+5,,,,,,,
46,46,1,スピード,7,スペシャルウィーク(イベント配布報酬),1,2,2,1,連続イベント,少しでも近づけるように,寡黙なところとか？,,体力-10,スキルPt+20,スペシャルウィークの絆ゲージ+5,,,,,,,
47,47,1,スピード,7,スペシャルウィーク(イベント配布報酬),1,2,3,1,連続イベント,少しでも近づけるように,ないんじゃないかな…,,体力-10,『ふり絞り』のヒントLv+1,スペシャルウィークの絆ゲージ+5,,,,,,,
48,48,1,スピード,7,スペシャルウィーク(イベント配布報酬),1,3,1,1,連続イベント,憧れのカタチ,選択肢なし,,体力+10,スピード+5,『栄養補給』のヒントLv+3,,,,,,,
49,49,1,スピード,7,スペシャルウィーク(イベント配布報酬),1,4,1,2,通常イベント,曲がり角には、気をつけます！,ここで全力を出さない方がいいぞ,,『別腹タンク』のヒントLv+1,スペシャルウィークの絆ゲージ+5,,,,,,,,
50,50,1,スピード,7,スペシャルウィーク(イベント配布報酬),1,4,2,2,通常イベント,曲がり角には、気をつけます！,急いで行ってあげて,,根性+15,スペシャルウィークの絆ゲージ+5,,,,,,,,
51,51,1,スピード,7,スペシャルウィーク(イベント配布報酬),1,5,1,2,通常イベント,あれもこれもで、悩んじゃいます！,美味しいものを食べるべきだ,,体力+10,やる気アップ,スペシャルウィークの絆ゲージ+5,,,,,,,
52,52,1,スピード,7,スペシャルウィーク(イベント配布報酬),1,5,2,2,通常イベント,あれもこれもで、悩んじゃいます！,思いついたところ全部に行こう！,,体力-10,スタミナ+15,スキルPt+15,スペシャルウィークの絆ゲージ+5,,,,,,
53,53,1,スピード,8,ツインターボ(SSRサポート),1,1,1,1,連続イベント,怖くないもん！,2人で走ればあっという間だよ,,スピード+10,ランダムで体力-10,ランダムでツインターボの絆ゲージ+5,※成功で次回イベントが発生,※失敗時に体力減少,,,,,
54,54,1,スピード,8,ツインターボ(SSRサポート),1,1,2,1,連続イベント,怖くないもん！,オバケに待ち伏せされてるかも,,体力+20,,,,,,,,,
55,55,1,スピード,8,ツインターボ(SSRサポート),1,2,1,1,連続イベント,捕まらないもん！,よし、行ってこい！,,体力-10,スピード+10,ランダムで『先頭プライド』のヒントLv+1~3,ランダムでスピード+15,『先頭プライド』のヒントLv+1~3,ツインターボの絆ゲージ+5になる,※成功で次回イベントが発生,※失敗時に体力減少,,
56,56,1,スピード,8,ツインターボ(SSRサポート),1,2,2,1,連続イベント,捕まらないもん！,ここは我慢だ,,体力+25,ランダムで『展開窺い』のヒントLv+3,※次回イベントが発生しない,,,,,,,
57,57,1,スピード,8,ツインターボ(SSRサポート),1,3,1,1,連続イベント,ターボは強いんだもん！,ターボエンジン全開だ！,,体力-10,スピード+5,『先駆け』のヒントLv+3,ランダムでスピード+25,ランダムで『先手必勝』のヒントLv+3,,,,,
58,58,1,スピード,8,ツインターボ(SSRサポート),1,3,2,1,連続イベント,ターボは強いんだもん！,息を入れて！,,体力+15,『展開窺い』のヒントLv+1,,,,,,,,
59,59,1,スピード,8,ツインターボ(SSRサポート),1,4,1,2,通常イベント,思い込んだら一直線！,それならスピードを優先した方がいい,,やる気ダウン,スピード+20,,,,,,,,
60,60,1,スピード,8,ツインターボ(SSRサポート),1,4,2,2,通常イベント,思い込んだら一直線！,確かにパワーは大事！,,体力-10,パワー+20,,,,,,,,
61,61,1,スピード,8,ツインターボ(SSRサポート),1,5,1,2,通常イベント,燃えてきた！！,簡単な曲でミスを減らしてみるのは？,,体力+15,ツインターボの絆ゲージ+5,,,,,,,,
62,62,1,スピード,8,ツインターボ(SSRサポート),1,5,2,2,通常イベント,燃えてきた！！,激ムズに挑戦してスコアを稼ごう！,,『先駆け』のヒントLv+1,ツインターボの絆ゲージ+5,,,,,,,,
63,63,1,スピード,9,キタサンブラック(SSRサポート),1,1,1,1,連続イベント,輝き追いかけて,選択肢なし,,やる気アップ,スピード+2,パワー+2,賢さ+2,キタサンブラックの絆ゲージ+5,,,,,
64,64,1,スピード,9,キタサンブラック(SSRサポート),1,2,1,1,連続イベント,情けは人のためならず,早く治さないとな,,やる気アップ,キタサンブラックの絆ゲージ+5,,,,,,,,
65,65,1,スピード,9,キタサンブラック(SSRサポート),1,2,2,1,連続イベント,情けは人のためならず,この元気に負けてられないぞ！,,『直線巧者』のヒントLv+1もしくはヒントLv+3,キタサンブラックの絆ゲージ+5,,,,,,,,
66,66,1,スピード,9,キタサンブラック(SSRサポート),1,3,1,1,連続イベント,2人で行くこの花道,選択肢なし,,パワー+5,弧線のプロフェッサーのヒントLv+1,,,,,,,,
67,67,1,スピード,9,キタサンブラック(SSRサポート),1,3,2,1,連続イベント,2人で行くこの花道,選択肢なし,,スピード+10,パワー+10,孤線のプロフェッサーのヒントLv+3,キタサンブラックの絆ゲージ+5,,,,,,
68,68,1,スピード,9,キタサンブラック(SSRサポート),1,4,1,2,通常イベント,あぁ、友情,すごく力強かったぞ！,,やる気アップ,パワー+5,キタサンブラックの絆ゲージ+5,,,,,,,
69,69,1,スピード,9,キタサンブラック(SSRサポート),1,4,2,2,通常イベント,あぁ、友情,本番に備えるだけだな！,,体力+10,キタサンブラックの絆ゲージ+5,,,,,,,,
70,70,1,スピード,9,キタサンブラック(SSRサポート),1,5,1,2,通常イベント,あぁ、故郷,質のよいシューズがいいかも,,スピード+5,パワー+10,キタサンブラックの絆ゲージ+5,,,,,,,
71,71,1,スピード,9,キタサンブラック(SSRサポート),1,5,2,2,通常イベント,あぁ、故郷,トレーニング教本がよさそう,,『練習上手◯』になる,キタサンブラックの絆ゲージ+5,,,,,,,,
72,72,1,スピード,10,カワカミプリンセス(SSRサポート),1,1,1,1,連続イベント,つつましく！豪快に！,『姫たるもののポーズ』で,,やる気アップ,スピード+5,カワカミプリンセスの絆ゲージ+5,,,,,,,
73,73,1,スピード,10,カワカミプリンセス(SSRサポート),1,1,2,1,連続イベント,つつましく！豪快に！,『屈強なるもののポーズ』かな,,スキルPt+10,『束縛』のヒントLv+1,カワカミプリンセスの絆ゲージ+5,,,,,,,
74,74,1,スピード,10,カワカミプリンセス(SSRサポート),1,2,1,1,連続イベント,プリンセスパワー☆フルマックス！,選択肢なし,,スピード+5,根性+5,,,,,,,,
75,75,1,スピード,10,カワカミプリンセス(SSRサポート),1,3,1,1,連続イベント,ぶちかませ！お姫様ロード！,きっと王子様の方から現れるよ,,スピード+15,根性+15,『注目の踊り子』のヒントLv+1,カワカミプリンセスの絆ゲージ+5,,,,,,
76,76,1,スピード,10,カワカミプリンセス(SSRサポート),1,3,2,1,連続イベント,ぶちかませ！お姫様ロード！,君自身が王子様になる可能性もある,,体力+25,スキルPt+25,,,,,,,,
77,77,1,スピード,10,カワカミプリンセス(SSRサポート),1,4,1,2,通常イベント,プリンセス、殴る！,次を最後の1発に！,,根性+10,カワカミプリンセスの絆ゲージ+5,,,,,,,,
78,78,1,スピード,10,カワカミプリンセス(SSRサポート),1,5,1,2,通常イベント,倒す相手をイメージしてみるとか？,やる気アップ,,カワカミプリンセスの絆ゲージ+5,,,,,,,,,
79,79,1,スピード,10,カワカミプリンセス(SSRサポート),1,6,1,2,通常イベント,プリンセス、逃走！,次は鬼を交代！,,体力+10,カワカミプリンセスの絆ゲージ+5,,,,,,,,
80,80,1,スピード,10,カワカミプリンセス(SSRサポート),1,7,1,2,通常イベント,もっとハンデをつけてあげたら？,『食い下がり』のヒントLv+1,,カワカミプリンセスの絆ゲージ+5,,,,,,,,,
81,81,1,スピード,11,ゴールドシップ(イベント配布報酬),1,1,1,1,連続イベント,ゴルシ様、城を建てる,資金を集めるとか……？,,体力最大値+4,ゴールドシップの絆ゲージ+5,,,,,,,,
82,82,1,スピード,11,ゴールドシップ(イベント配布報酬),1,1,2,1,連続イベント,ゴルシ様、城を建てる,城に使えそうなものを探すとか？,,スピード+10,ゴールドシップの絆ゲージ+5,,,,,,,,
83,83,1,スピード,11,ゴールドシップ(イベント配布報酬),1,2,1,1,連続イベント,ゴルシ様、ダンジョンを探す,選択肢なし,,体力-15,スピード+5,スタミナ+5,『長距離直線◯』のヒントLv+1,,,,,,
84,84,1,スピード,11,ゴールドシップ(イベント配布報酬),1,3,1,1,連続イベント,ゴルシ様、配下をそろえる,し、四天王？,,体力-10,スピード+10,スタミナ+10,『内的体験』のヒントLv+3,ゴールドシップの絆ゲージ+5,,,,,
85,85,1,スピード,11,ゴールドシップ(イベント配布報酬),1,3,2,1,連続イベント,ゴルシ様、配下をそろえる,体力-10,,体力-10,スピード+5,スタミナ+5,『内弁慶』のヒントLv+3,ゴールドシップの絆ゲージ+5,,,,,
86,86,1,スピード,11,ゴールドシップ(イベント配布報酬),1,4,1,1,連続イベント,さっぱりわからない……,体力+10,,『おひとり様◯』のヒントLv+1,,,,,,,,,
87,87,1,スピード,11,ゴールドシップ(イベント配布報酬),1,5,1,2,通常イベント,冒険家ゴールドシップ,た、体力かな……？,,スタミナ+15,ゴールドシップの絆ゲージ+5,,,,,,,,
88,88,1,スピード,11,ゴールドシップ(イベント配布報酬),1,6,1,2,通常イベント,冒険家ゴールドシップ,根気強さとか……？,,根性+10,スキルPt+15,ゴールドシップの絆ゲージ+5,,,,,,,
89,89,1,スピード,11,ゴールドシップ(イベント配布報酬),1,7,1,2,通常イベント,甦れ！ゴルシ印のソース焼きそば！,……味に磨きをかけたら？,,やる気アップ,スタミナ+5,,,,,,,,
90,90,1,スピード,11,ゴールドシップ(イベント配布報酬),1,7,2,2,通常イベント,甦れ！ゴルシ印のソース焼きそば！,……明石焼きを売ったら？,,『阪神レース場◯』のヒントLv+1,ゴールドシップの絆ゲージ+5,,,,,,,,
91,91,1,スピード,12,ナリタブライアン(ストーリー報酬),1,1,1,1,連続イベント,レースプランナー・ブライアン,選択肢なし,,体力の最大値+4,スピード+5,,,,,,,,
92,92,1,スピード,12,ナリタブライアン(ストーリー報酬),1,2,1,1,連続イベント,姉のみぞ知る,選択肢なし,,体力-10,スピード+20,,,,,,,,
93,93,1,スピード,12,ナリタブライアン(ストーリー報酬),1,3,1,1,連続イベント,夢の続きへ駆け出して,選択肢なし,,体力-10,スピード+20,『くじけぬ精神』のヒントLv+1,,,,,,,
94,94,1,スピード,12,ナリタブライアン(ストーリー報酬),1,4,1,2,通常イベント,生徒会役員！,手伝おうか？,,やる気アップ,スピード+5,ナリタブライアンの絆ゲージ+5,,,,,,,
95,95,1,スピード,12,ナリタブライアン(ストーリー報酬),1,4,2,2,通常イベント,生徒会役員！,体力が付きそうだ,,体力最大値+4,ナリタブライアンの絆ゲージ+5,,,,,,,,
96,96,1,スピード,12,ナリタブライアン(ストーリー報酬),1,5,1,2,通常イベント,孤狼,無理しないようにな,,スピード+3,スタミナ+3,パワー+3,ナリタブライアンの絆ゲージ+5,,,,,,
97,97,1,スピード,12,ナリタブライアン(ストーリー報酬),1,5,2,2,通常イベント,孤狼,1人で走りたかったんだな,,『一匹狼』のヒントLv+1,ナリタブライアンの絆ゲージ+5,,,,,,,,
98,98,1,スピード,13,スイープトウショウ(SSRスピード),1,1,1,1,連続イベント,気まぐれ天才魔法少女スイーピー☆,よし、いけーっ！,成功時：,やる気アップ,『直線一気』のヒントLv+2,スイープトウショウの絆ゲージ+5,,,,,,,
99,99,1,スピード,13,スイープトウショウ(SSRスピード),1,1,2,1,連続イベント,気まぐれ天才魔法少女スイーピー☆,よし、いけーっ！,失敗時：,やる気ダウン,賢さ+5,スイープトウショウの絆ゲージ+5,,,,,,,
100,100,1,スピード,13,スイープトウショウ(SSRスピード),1,2,1,1,連続イベント,気まぐれ天才魔法少女スイーピー☆,ちょっと待った……！！,,スキルpt+15,スイープトウショウの絆ゲージ+5,,,,,,,,
101,101,1,スピード,13,スイープトウショウ(SSRスピード),1,3,1,1,連続イベント,あまあま☆マズマズ☆黒魔法,じゃあ……もらおうかな,成功時：,体力+10,スキルpt+20,スイープトウショウの絆ゲージ+5,,,,,,,
102,102,1,スピード,13,スイープトウショウ(SSRスピード),1,3,2,1,連続イベント,あまあま☆マズマズ☆黒魔法,じゃあ……もらおうかな,失敗時：,体力-10,スキルPt+15,スイープトウショウの絆ゲージ+5,,,,,,,
103,103,1,スピード,13,スイープトウショウ(SSRスピード),1,4,2,1,連続イベント,あまあま☆マズマズ☆黒魔法,いや、もう大丈夫！,,賢さ+10,スイープトウショウの絆ゲージ+5,,,,,,,,
104,104,1,スピード,13,スイープトウショウ(SSRスピード),1,5,1,1,連続イベント,少女の気分は花の移ろい☆彡,選択肢なし,,スピード+5,賢さ+5,『天命士』のヒントLv+1,,,,,,,
105,105,1,スピード,13,スイープトウショウ(SSRスピード),1,6,1,2,通常イベント,ミラクル☆エスケープ,補習を受けよう,,体力+10,スピード+5,スイープトウショウの絆ゲージ+5,,,,,,,
106,106,1,スピード,13,スイープトウショウ(SSRスピード),1,6,2,2,通常イベント,ミラクル☆エスケープ,走って逃げよう！,,体力-10,スピード+20,スイープトウショウの絆ゲージ+5,,,,,,,
107,107,1,スピード,13,スイープトウショウ(SSRスピード),1,7,1,2,通常イベント,ワンダフル☆ミステイク！,代わりにすごい呪文を教えよう,,体力-20,スキルPt+40,スイープトウショウの絆ゲージ+5,,,,,,,
108,108,1,スピード,13,スイープトウショウ(SSRスピード),1,8,2,2,通常イベント,ワンダフル☆ミステイク！,もう一度スズメを探しに行こう,,『愛嬌◯』になる,スイープトウショウの絆ゲージ+5,,,,,,,,
109,109,1,スピード,14,ゼンノロブロイ(SSRハロウィン),1,1,1,1,連続イベント,読書少女と賢者の催し物,選択肢なし,,スキルpt+15,,,,,,,,,
110,110,1,スピード,14,ゼンノロブロイ(SSRハロウィン),1,2,1,1,連続イベント,読書少女と秘密の作戦会議,魅力的な宣伝かな？,,スタミナ+5,『右回り◯』のヒントLv+2,ゼンノロブロイの絆ゲージ+5,,,,,,,
111,111,1,スピード,14,ゼンノロブロイ(SSRハロウィン),1,2,2,1,連続イベント,読書少女と秘密の作戦会議,雰囲気をもっと出すとか……,,スピード+5,『左回り◯』のヒントLv+2,ゼンノロブロイの絆ゲージ+5,,,,,,,
112,112,1,スピード,14,ゼンノロブロイ(SSRハロウィン),1,2,3,1,連続イベント,読書少女と秘密の作戦会議,衣装も凝った方がいいと思う！,,賢さ+30,ゼンノロブロイの絆ゲージ+5,,,,,,,,
113,113,1,スピード,14,ゼンノロブロイ(SSRハロウィン),1,3,1,1,連続イベント,読書少女とあるカエルの友人,選択肢なし,,スキルpt+20,『潜伏態勢』のヒントLv+1,,,,,,,,
114,114,1,スピード,14,ゼンノロブロイ(SSRハロウィン),1,4,1,1,連続イベント,読書家あるある,ラストのカーチェイスが凄かった,,スピード+5,賢さ+5,ゼンノロブロイの絆ゲージ+5,,,,,,,
115,115,1,スピード,14,ゼンノロブロイ(SSRハロウィン),1,4,2,2,通常イベント,読書家あるある,映像が綺麗だったよね,,体力+10,パワー+5,ゼンノロブロイの絆ゲージ+5,,,,,,,
116,116,1,スピード,14,ゼンノロブロイ(SSRハロウィン),1,5,1,2,通常イベント,託された物語,図書委員に確認するのがいいかもね,,スタミナ+10,賢さ+10,ゼンノロブロイの絆ゲージ+5,,,,,,,
117,117,1,スピード,14,ゼンノロブロイ(SSRハロウィン),1,5,2,2,通常イベント,託された物語,その本、どんなストーリー？,,『中距離直線◯』のヒントLv+1,ゼンノロブロイの絆ゲージ+5,,,,,,,,
118,118,1,スピード,15,マヤノトップガン(SSRサポート),1,1,1,1,連続イベント,なんでもない日の……♪,素敵なお父さんだな,成功：,やる気アップ,スピード+20,根性+10,『真っ向勝負』のヒントLv+1,マヤノトップガンの絆ゲージ+5,,,,,
119,119,1,スピード,15,マヤノトップガン(SSRサポート),1,1,2,1,連続イベント,なんでもない日の……♪,素敵なお父さんだな,失敗：,体力-10,やる気アップ,根性+10,マヤノトップガンの絆ゲージ+5,,,,,,
120,120,1,スピード,15,マヤノトップガン(SSRサポート),1,2,1,1,連続イベント,誰かを気遣えるって“大人だな”,選択肢なし,,賢さ+15,マヤノトップガンの絆ゲージ+5,,,,,,,,
121,121,1,スピード,15,マヤノトップガン(SSRサポート),1,3,1,1,連続イベント,じゃあ俺からも何かあげようか？,選択肢なし,,体力+20,スタミナ+10,『対抗意識◯』のヒントLv+1,連続イベントが終了,,,,,,
122,122,1,スピード,15,マヤノトップガン(SSRサポート),1,4,1,1,連続イベント,素敵な休日の……♪,選択肢なし,,スピード+10,根性+5,,,,,,,,
123,123,1,スピード,15,マヤノトップガン(SSRサポート),1,5,1,1,連続イベント,特別な日の特別な……♪,選択肢なし,,体力+10,スピード+10,根性+5,『じゃじゃウマ娘』のヒントLv+1,マヤノトップガンの絆ゲージ+5,,,,,
124,124,1,スピード,15,マヤノトップガン(SSRサポート),1,6,1,2,通常イベント,マヤノ的おやつ会議！,新フレーバーに挑戦！,,スタミナ+5,根性+5,マヤノトップガンの絆ゲージ+5,,,,,,,
125,125,1,スピード,15,マヤノトップガン(SSRサポート),1,7,1,2,通常イベント,テッパンが1番！,選択肢なし,,スタミナ+10,マヤノトップガンの絆ゲージ+5,,,,,,,,
126,126,1,スピード,15,マヤノトップガン(SSRサポート),1,8,1,2,通常イベント,マヤノ的ファッション会議！,最新の技有りコーデ！,,『直線巧者』のヒントLv+1,マヤノトップガンの絆ゲージ+5,,,,,,,,
127,127,1,スピード,15,マヤノトップガン(SSRサポート),1,8,2,2,通常イベント,マヤノ的ファッション会議！,動きやすい機能美コーデ！,,スタミナ+10,マヤノトップガンの絆ゲージ+5,,,,,,,,
128,128,1,スピード,16,サイレンススズカ(ストーリー報酬),1,1,1,1,連続イベント,❝景色❞へ導く,選択肢なし,,スピード+15,,,,,,,,,
129,129,1,スピード,16,サイレンススズカ(ストーリー報酬),1,2,1,1,連続イベント,仲間と見る❝景色❞,選択肢なし,,スキルPt+20,,,,,,,,,
130,130,1,スピード,16,サイレンススズカ(ストーリー報酬),1,3,1,1,連続イベント,未来の❝景色❞,選択肢なし,,スピード+15,『切り開く者』のヒントLv+1,,,,,,,,
131,131,1,スピード,16,サイレンススズカ(ストーリー報酬),1,4,1,2,通常イベント,どこまでも,構わないよ,,スピード+10,スタミナ+5,サイレンススズカの絆ゲージ+5,,,,,,,
132,132,1,スピード,16,サイレンススズカ(ストーリー報酬),1,4,2,2,通常イベント,どこまでも,全力で走ってみて,,スピード+15,サイレンススズカの絆ゲージ+5,,,,,,,,
133,133,1,スピード,16,サイレンススズカ(ストーリー報酬),1,5,1,2,通常イベント,どうすれば,一緒に併走してあげるのは？,,スピード+5,スタミナ+5,賢さ+5,サイレンススズカの絆ゲージ+5,,,,,,
134,134,1,スピード,16,サイレンススズカ(ストーリー報酬),1,5,2,2,通常イベント,どうすれば,その左回りにコツが隠されてるのかも,,『左回り◯』のヒントLv+1,サイレンススズカの絆ゲージ+5,,,,,,,,
